,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
pacing rhythm,0.05784514173865318,0.05101865157485008,0.15071094036102295,0.04559358209371567,0.01979536935687065,0.07171541452407837,0.15634337067604065,0.029975663870573044,0.027720455080270767,0.033776961266994476,0.008604180067777634,0.057704973965883255
prolonged qt interval,0.006382424384355545,-0.01838676631450653,-0.028935443609952927,-0.01017417386174202,-0.02564609795808792,0.044848863035440445,0.0005412846803665161,0.024149376899003983,-0.016420692205429077,-0.0028808079659938812,-0.007343705743551254,0.04915253818035126
atrial fibrillation,0.10909191519021988,0.011540461331605911,0.027409393340349197,0.028975602239370346,-0.001511748880147934,0.02133042737841606,0.07908307015895844,0.02807433530688286,0.0553303025662899,0.05320187658071518,-0.012069109827280045,0.024556204676628113
atrial flutter,0.00016488879919052124,0.0009016208350658417,-0.007292214781045914,0.028991632163524628,-0.004290305078029633,0.02992144227027893,0.0056630633771419525,-0.0001157224178314209,0.010183315724134445,-0.0002599358558654785,-0.006093885749578476,0.05098576471209526
left bundle branch block,0.028298135846853256,0.019643481820821762,0.0827740877866745,0.0579109713435173,0.07047304511070251,0.33460721373558044,0.07900942116975784,0.1567739099264145,0.347500741481781,0.28440165519714355,0.2528955638408661,0.09713084250688553
qwave abnormal,-0.016313234344124794,-0.009039859287440777,0.03855518624186516,0.01133739948272705,0.15901874005794525,-0.004370888229459524,0.11230943351984024,0.0046782889403402805,0.08514300733804703,-0.029778501018881798,0.08208665996789932,0.032945334911346436
t wave abnormal,-0.015685580670833588,-0.037002917379140854,-0.02170761674642563,0.007893506437540054,0.014579687267541885,-0.013122227042913437,0.035189177840948105,-7.068738341331482e-05,0.039169792085886,-0.027998633682727814,-0.013507530093193054,0.052831631153821945
prolonged pr interval,0.1813790649175644,0.07906775176525116,0.6564127206802368,0.04215965047478676,0.6190913319587708,0.2059984803199768,0.4085131883621216,0.19093401730060577,0.6933313608169556,0.4187893569469452,0.5791529417037964,0.04031394049525261
ventricular premature beats,-0.03018432855606079,-0.006773889064788818,-0.03626006841659546,-0.0165596604347229,-0.03860914707183838,-0.03621351718902588,-0.0403059720993042,-0.032100558280944824,-0.014064013957977295,-0.03912806510925293,-0.041432857513427734,0.025260627269744873
low qrs voltages,-0.04218855872750282,-0.03554233908653259,-0.03795040026307106,-0.034674160182476044,-0.04311256483197212,-0.019278861582279205,-0.0438431091606617,-0.02664889767765999,-0.03394418582320213,-0.037079911679029465,-0.036781858652830124,-0.03274938836693764
