,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
pacing rhythm,0.0029980018734931946,0.0025012530386447906,0.005029942840337753,0.003578968346118927,-5.938112735748291e-06,0.004820689558982849,0.005999922752380371,0.002467922866344452,-8.965283632278442e-05,0.0019025355577468872,-0.00010460987687110901,0.0034482963383197784
prolonged qt interval,0.003639642149209976,0.0006254762411117554,-0.004311807453632355,-0.0014234110713005066,-0.005690865218639374,0.00849955901503563,0.0031127408146858215,0.003063403069972992,-0.006445527076721191,0.003619428724050522,0.0017981864511966705,0.007054157555103302
atrial fibrillation,0.021190468221902847,0.003537416458129883,0.013199131935834885,0.00714028999209404,0.006139699369668961,0.011936381459236145,0.03102574497461319,0.016892995685338974,0.0100829117000103,0.011721611022949219,0.003135036677122116,0.006722293794155121
atrial flutter,-0.0005399547517299652,0.00014844536781311035,-0.0021959319710731506,0.0015354268252849579,-0.00233643501996994,0.000914406031370163,-1.4476478099822998e-05,-0.0011140108108520508,-0.0022728219628334045,-0.0014094188809394836,-0.0023952871561050415,0.002372000366449356
left bundle branch block,0.006348893046379089,0.00426999107003212,0.010346215218305588,0.010416477918624878,0.014905158430337906,0.016810253262519836,0.012889128178358078,0.010741494596004486,0.04891743138432503,0.013845600187778473,0.012294579297304153,0.01343144103884697
qwave abnormal,-0.009999294765293598,-0.002406100509688258,-0.0014800826320424676,-0.004618068691343069,0.006033340934664011,-0.005219101905822754,0.001753727556206286,-0.005649268627166748,-0.000316619873046875,-0.007557094097137451,0.0030401945114135742,0.0005999207496643066
t wave abnormal,-0.0048826225101947784,-0.009218927472829819,-0.006330423057079315,-0.0009170882403850555,0.0017427019774913788,-0.004971295595169067,0.004680834710597992,-0.0013123489916324615,0.005698312073945999,-0.008597850799560547,-0.0036141499876976013,0.009504418820142746
prolonged pr interval,0.017699744552373886,0.009707842022180557,0.03353589028120041,0.013152197003364563,0.03292574733495712,0.024344798177480698,0.03006260097026825,0.027521349489688873,0.0660964697599411,0.029329612851142883,0.04749661684036255,0.014458581805229187
ventricular premature beats,-0.0038486123085021973,0.002564370632171631,-0.005859255790710449,0.0004940032958984375,-0.008130192756652832,-0.008755683898925781,-0.01222318410873413,-0.0042310357093811035,0.005550265312194824,-0.013471603393554688,-0.016003191471099854,0.012548983097076416
low qrs voltages,-0.008700884878635406,-0.0074271559715271,-0.005318325012922287,-0.005492322146892548,-0.005881953984498978,-0.0019648484885692596,-0.007868483662605286,-0.004198096692562103,-0.002915050834417343,-0.00605401024222374,-0.005888763815164566,-0.0033506006002426147
1st degree av block,0.0034868046641349792,0.005898710340261459,0.0076468996703624725,0.0015173852443695068,0.006956163793802261,0.008634600788354874,0.005082413554191589,0.007460512220859528,0.010432656854391098,0.011086829006671906,0.00859227403998375,0.0048776231706142426
