,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
pacing rhythm,0.11163922399282455,0.03665907308459282,0.09948985278606415,0.09134940803050995,0.04963577911257744,0.1353733390569687,0.049725741147994995,0.11162479966878891,0.1314993053674698,0.06677480041980743,0.07443872839212418,0.0417899414896965
prolonged qt interval,0.07725899666547775,0.04166689142584801,0.09230201691389084,0.08514457941055298,0.061193082481622696,0.16507306694984436,0.06339212507009506,0.09243699163198471,0.12617768347263336,0.07339781522750854,0.07748132944107056,0.04447542130947113
atrial fibrillation,0.07906696200370789,0.07054480910301208,0.10386087745428085,0.08159373700618744,0.06761129200458527,0.09643612056970596,0.07842261344194412,0.0854991003870964,0.10905806720256805,0.07562051713466644,0.07597774267196655,0.07630819082260132
atrial flutter,0.0841168537735939,0.04037581756711006,0.07653319090604782,0.0962025448679924,0.0636942908167839,0.16169016063213348,0.052878230810165405,0.11117593199014664,0.10689998418092728,0.07800652831792831,0.08725395053625107,0.041172537952661514
left bundle branch block,0.1112973541021347,0.05415841564536095,0.09545587748289108,0.07693830132484436,0.07200568169355392,0.0998755469918251,0.0634850412607193,0.08779604732990265,0.12024588882923126,0.07203598320484161,0.0759243294596672,0.07078154385089874
qwave abnormal,0.07720992714166641,0.04673818498849869,0.11213178187608719,0.06755644828081131,0.0644645243883133,0.11409201472997665,0.08551613986492157,0.08088845014572144,0.13715720176696777,0.08387383073568344,0.07926363497972488,0.05110793933272362
t wave abnormal,0.07321196049451828,0.046075478196144104,0.10453851521015167,0.0645832046866417,0.0694461315870285,0.1365634649991989,0.07574719190597534,0.08547674119472504,0.12931948900222778,0.07994873076677322,0.0818890929222107,0.05319996550679207
prolonged pr interval,0.09612740576267242,0.037757016718387604,0.08087023347616196,0.10551366955041885,0.05896468833088875,0.15024679899215698,0.05496261641383171,0.10219812393188477,0.11150449514389038,0.07372743636369705,0.08093412220478058,0.04719338193535805
ventricular premature beats,0.09065603464841843,0.04945589229464531,0.10904465615749359,0.06982195377349854,0.061519868671894073,0.12038569897413254,0.07869955152273178,0.08882392942905426,0.12174040824174881,0.08204372227191925,0.07928589731454849,0.048522479832172394
low qrs voltages,0.07885011285543442,0.0524308905005455,0.11340994387865067,0.06801464408636093,0.05783690884709358,0.13183560967445374,0.06704200804233551,0.09971398115158081,0.1250419169664383,0.07898455858230591,0.08666965365409851,0.040169857442379
1st degree av block,0.08553683012723923,0.05548198148608208,0.0873328298330307,0.09633497893810272,0.06635818630456924,0.10418861359357834,0.07455915957689285,0.12854859232902527,0.10420587658882141,0.06705932319164276,0.06782326102256775,0.06257034093141556
premature atrial contraction,0.08016591519117355,0.044614773243665695,0.10060255974531174,0.08974894881248474,0.07125484198331833,0.11543963104486465,0.07985300570726395,0.10275314748287201,0.11937317997217178,0.07242292910814285,0.07454520463943481,0.04922596737742424
left axis deviation,0.08806929737329483,0.04020310938358307,0.0980367362499237,0.09214197099208832,0.06434666365385056,0.1272839903831482,0.0694415271282196,0.09685918688774109,0.12319742888212204,0.07582912594079971,0.0796203464269638,0.04497057944536209
sinus bradycardia,0.09636542946100235,0.049002863466739655,0.10233091562986374,0.07700289040803909,0.05532797798514366,0.1311575472354889,0.059777747839689255,0.10562597215175629,0.12858732044696808,0.06583575904369354,0.09071465581655502,0.03827090933918953
bradycardia,0.08787445724010468,0.04990429803729057,0.10162734985351562,0.08311230689287186,0.05905972048640251,0.10883033275604248,0.07428810000419617,0.0943860113620758,0.12835392355918884,0.07426852732896805,0.08121242374181747,0.057082563638687134
sinus rhythm,0.09565672278404236,0.03376081958413124,0.084075428545475,0.1088990718126297,0.06322433054447174,0.14194345474243164,0.06182815134525299,0.10889295488595963,0.10978161543607712,0.06995850056409836,0.07171129435300827,0.05026764050126076
sinus tachycardia,0.07899566739797592,0.05775447189807892,0.09788975864648819,0.08093924820423126,0.06972438842058182,0.1070479080080986,0.08033379912376404,0.09564290195703506,0.11892841011285782,0.0762164294719696,0.07463464140892029,0.0618923157453537
premature ventricular contractions,0.09242654591798782,0.04349733144044876,0.1064905971288681,0.07642390578985214,0.053584132343530655,0.11633449792861938,0.07222020626068115,0.10100487619638443,0.13364540040493011,0.07770401984453201,0.07427646964788437,0.052391957491636276
sinus arrhythmia,0.07688480615615845,0.04726937413215637,0.10658791661262512,0.0619068518280983,0.07066748291254044,0.13804282248020172,0.06979600340127945,0.08224339038133621,0.12868264317512512,0.07734153419733047,0.0930929034948349,0.04748427867889404
left anterior fascicular block,0.09837433695793152,0.03999094292521477,0.09521778672933578,0.08561886847019196,0.05099627375602722,0.14063799381256104,0.058435793966054916,0.10417149215936661,0.12773534655570984,0.07359214872121811,0.08544658124446869,0.03978236764669418
right axis deviation,0.06628146767616272,0.05002732574939728,0.08741311728954315,0.07164322584867477,0.0657929927110672,0.16228465735912323,0.0668579563498497,0.07447804510593414,0.12296388298273087,0.08401945233345032,0.09229644387960434,0.055941399186849594
right bundle branch block,0.09070904552936554,0.037252191454172134,0.08061153441667557,0.121239572763443,0.06606495380401611,0.13034604489803314,0.06751856207847595,0.09425929188728333,0.10791900753974915,0.06551727652549744,0.08145328611135483,0.05710927024483681
t wave inversion,0.0920669436454773,0.03768220543861389,0.09587422758340836,0.07504488527774811,0.060048628598451614,0.1642751395702362,0.05536266788840294,0.10177899152040482,0.12389908730983734,0.07193661481142044,0.085198774933815,0.036831825971603394
supraventricular premature beats,0.08650198578834534,0.05362273380160332,0.10978829115629196,0.05462028831243515,0.05692772939801216,0.11535224318504333,0.07770159095525742,0.08808358758687973,0.13819459080696106,0.08399764448404312,0.08470338582992554,0.05050602927803993
nonspecific intraventricular conduction disorder,0.08414175361394882,0.05162705481052399,0.10447501391172409,0.07799046486616135,0.06310180574655533,0.11823109537363052,0.07247991114854813,0.09073560684919357,0.1288139522075653,0.07691045850515366,0.07873931527137756,0.05275357887148857
incomplete right bundle branch block,0.06887274980545044,0.07740304619073868,0.10115373879671097,0.09407181292772293,0.08009087294340134,0.09090426564216614,0.07504816353321075,0.07823903113603592,0.1180378794670105,0.07980566471815109,0.07619626075029373,0.06017650291323662
complete right bundle branch block,0.06810849905014038,0.0719047412276268,0.11075281351804733,0.05404392629861832,0.06431202590465546,0.12886039912700653,0.06820112466812134,0.10530420392751694,0.11389019340276718,0.08023406565189362,0.07646777480840683,0.057920217514038086
