class,abbr,n,spearman_full,spearman_windowed,ig_mean_rel_resid,ig_median_rel_resid,ig_mean_abs_resid,ig_median_abs_resid
1st degree av block,IAVB,16,0.05594405594402352,0.2167832167830912,1.0315124988555908,1.036940574645996,2.0454697608947754,1.9227133989334106
atrial fibrillation,AF,16,0.4195804195801766,0.5244755244752207,0.9404901266098022,0.8599386811256409,3.789996862411499,4.010347366333008
atrial flutter,AFL,16,0.09790209790204114,-0.13986013986005888,1.0024962425231934,1.045774221420288,3.661707878112793,3.6543760299682617
bradycardia,Brady,16,0.3496503496501471,0.35664335664315,0.9373753070831299,0.9559189081192017,2.748541831970215,3.0275540351867676
complete right bundle branch block,CRBBB,16,0.7342657342653088,0.6433566433562706,0.8867378234863281,0.9324885606765747,2.2408363819122314,2.25186824798584
incomplete right bundle branch block,IRBBB,16,0.20979020979008825,0.013986013986005871,0.9417039155960083,0.8357366323471069,1.5539696216583252,1.4931409358978271
left anterior fascicular block,LAFB,16,0.34265734265714426,0.2727272727271148,1.0687189102172852,1.1529717445373535,3.220947265625,3.206770181655884
left axis deviation,LAD,16,0.2937062937061236,0.30769230769212946,0.9159585237503052,0.8515646457672119,3.5163493156433105,3.2949395179748535
left bundle branch block,LBBB,16,0.4195804195801766,0.16783216783207058,0.8977982997894287,0.8711146116256714,3.547863245010376,3.494673490524292
low qrs voltages,LQRSV,16,0.34965034965014724,0.48951048951020604,0.8981826901435852,0.9479995369911194,3.617908000946045,3.628596067428589
nonspecific intraventricular conduction disorder,NS-IVCD,16,0.28671328671312063,0.32867132867113824,1.2381433248519897,1.0566318035125732,1.308904767036438,1.0279300212860107
pacing rhythm,Paced,16,0.06993006993002943,0.04195804195801763,0.9155778884887695,0.9519867300987244,10.508919715881348,10.014616966247559
premature atrial contraction,PAC,16,0.020979020979008823,0.04895104895102059,0.8964650630950928,0.9114986062049866,1.5026730298995972,1.4026987552642822
premature ventricular contractions,PVC,11,0.34265734265714415,0.25174825174810594,0.8674489855766296,0.9109352231025696,2.2670536041259766,1.9679046869277954
prolonged pr interval,LPR,16,0.20279720279708535,0.20979020979008825,1.027967929840088,1.0150103569030762,6.999082565307617,7.121681213378906
prolonged qt interval,LQT,16,0.09790209790204123,-0.07692307692303238,0.9092714786529541,0.8314193487167358,3.590179920196533,3.9938735961914062
qwave abnormal,QAbn,3,0.13986013986005882,-0.1328671328670559,0.41474470496177673,0.4703653156757355,1.2297533750534058,1.3589398860931396
right axis deviation,RAD,16,-0.34265734265714426,-0.4335664335661824,0.8918411731719971,0.9049798250198364,3.3589229583740234,2.8855998516082764
right bundle branch block,RBBB,16,0.35664335664315,0.4475524475521883,0.8004012107849121,0.8480072021484375,3.793318271636963,3.8047611713409424
sinus arrhythmia,SA,16,0.013986013986005944,-0.06993006993002937,0.9126930236816406,0.8686294555664062,2.231936454772949,2.1441683769226074
sinus bradycardia,SB,16,0.3496503496501471,0.2727272727271148,9.089345932006836,1.1986865997314453,1.0233583450317383,0.9235481023788452
sinus rhythm,SR,16,0.027972027972011815,-0.013986013986005854,0.9498578310012817,0.9501084089279175,5.713507652282715,5.45871114730835
sinus tachycardia,ST,16,-0.32867132867113835,-0.2797202797201177,0.8201638460159302,0.9304575324058533,5.489974498748779,6.121729373931885
supraventricular premature beats,SVPB,2,0.6083916083912558,0.6083916083912561,0.5495281219482422,0.5495281219482422,1.4681148529052734,1.4681148529052734
t wave abnormal,TWA,16,-0.013986013986005888,-0.09090909090903825,0.9987112283706665,0.9840909838676453,2.9959335327148438,2.8042986392974854
t wave inversion,TWI,16,-0.10489510489504411,-0.28671328671312063,0.9301352500915527,0.964415431022644,2.1504769325256348,2.091704845428467
ventricular premature beats,VPB,1,-0.16783216783207058,-0.17482517482507354,0.6823633909225464,0.6823633909225464,2.4156243801116943,2.4156243801116943
