Random seed,NSamples,Feature,Shapley Value,Entity,Tolerance,t (event index)
0,300,Event -1,0.0,0,No Pruning,-1
0,300,Event -2,0.0,0,No Pruning,-2
0,300,Event -3,0.0,0,No Pruning,-3
0,300,Event -4,0.0,0,No Pruning,-4
0,300,Event -5,0.0,0,No Pruning,-5
0,300,Event -6,0.0,0,No Pruning,-6
0,300,Event -7,0.0,0,No Pruning,-7
0,300,Event -8,0.0,0,No Pruning,-8
0,300,Event -9,-0.0004424346943764079,0,No Pruning,-9
0,300,Event -10,0.0,0,No Pruning,-10
0,300,Event -11,-8.568972309321651e-05,0,No Pruning,-11
0,300,Event -12,0.0,0,No Pruning,-12
0,300,Event -13,0.0,0,No Pruning,-13
0,300,Event -14,0.0,0,No Pruning,-14
0,300,Event -15,0.0,0,No Pruning,-15
0,300,Event -16,0.0,0,No Pruning,-16
0,300,Event -17,-0.0005508309670988221,0,No Pruning,-17
0,300,Event -18,8.476583667648834e-05,0,No Pruning,-18
0,300,Event -19,0.0,0,No Pruning,-19
0,300,Event -20,0.0,0,No Pruning,-20
0,300,Event -21,0.0,0,No Pruning,-21
0,300,Event -22,0.0,0,No Pruning,-22
0,300,Event -23,0.0,0,No Pruning,-23
0,300,Event -24,-0.0005614885374168635,0,No Pruning,-24
0,300,Event -25,0.0,0,No Pruning,-25
0,300,Event -26,-0.0008600195792284256,0,No Pruning,-26
0,300,Event -27,0.0,0,No Pruning,-27
0,300,Event -28,0.0,0,No Pruning,-28
0,300,Event -29,-0.00043054672970915537,0,No Pruning,-29
0,300,Event -30,0.0,0,No Pruning,-30
0,300,Event -31,0.0,0,No Pruning,-31
0,300,Event -32,0.0,0,No Pruning,-32
0,300,Event -33,0.0,0,No Pruning,-33
0,300,Event -34,0.0,0,No Pruning,-34
0,300,Event -35,0.0,0,No Pruning,-35
0,300,Event -36,0.0,0,No Pruning,-36
0,300,Event -37,-0.00013974662749099037,0,No Pruning,-37
0,300,Event -38,0.0,0,No Pruning,-38
0,300,Event -39,0.0,0,No Pruning,-39
0,300,Event -40,0.0,0,No Pruning,-40
0,300,Event -41,0.0,0,No Pruning,-41
0,300,Event -42,-0.00041115438490086243,0,No Pruning,-42
0,300,Event -43,0.0,0,No Pruning,-43
0,300,Event -44,0.0,0,No Pruning,-44
0,300,Event -45,0.0,0,No Pruning,-45
0,300,Event -46,0.0,0,No Pruning,-46
0,300,Event -47,0.0,0,No Pruning,-47
0,300,Event -48,0.0,0,No Pruning,-48
0,300,Event -49,0.0,0,No Pruning,-49
0,300,Event -50,0.0,0,No Pruning,-50
0,300,Event -51,0.0,0,No Pruning,-51
0,300,Event -52,0.0,0,No Pruning,-52
0,300,Event -53,0.0,0,No Pruning,-53
0,300,Event -54,0.0,0,No Pruning,-54
0,300,Event -55,-0.00031396175802812554,0,No Pruning,-55
0,300,Event -56,0.0,0,No Pruning,-56
0,300,Event -57,0.0,0,No Pruning,-57
0,300,Event -58,0.0,0,No Pruning,-58
0,300,Event -59,0.0,0,No Pruning,-59
0,300,Event -60,-0.0002762370698534163,0,No Pruning,-60
0,300,Event -61,0.0,0,No Pruning,-61
0,300,Event -62,0.0,0,No Pruning,-62
0,300,Event -63,0.0,0,No Pruning,-63
0,300,Event -64,0.0,0,No Pruning,-64
0,300,Event -65,0.0,0,No Pruning,-65
0,300,Event -66,0.0,0,No Pruning,-66
0,300,Event -67,0.0,0,No Pruning,-67
0,300,Event -68,0.0,0,No Pruning,-68
0,300,Event -69,0.0,0,No Pruning,-69
0,300,Event -70,0.0,0,No Pruning,-70
0,300,Event -71,-0.00016188235059433182,0,No Pruning,-71
0,300,Event -72,0.0,0,No Pruning,-72
0,300,Event -73,0.0,0,No Pruning,-73
0,300,Event -74,0.0,0,No Pruning,-74
0,300,Event -75,0.0,0,No Pruning,-75
0,300,Event -76,0.0,0,No Pruning,-76
0,300,Event -77,0.0,0,No Pruning,-77
0,300,Event -78,0.0,0,No Pruning,-78
0,300,Event -79,-0.0003287246782347535,0,No Pruning,-79
0,300,Event -80,-0.00020613636317564577,0,No Pruning,-80
0,300,Event -81,0.0,0,No Pruning,-81
0,300,Event -82,0.0,0,No Pruning,-82
0,300,Event -83,0.0,0,No Pruning,-83
0,300,Event -84,0.0,0,No Pruning,-84
0,300,Event -85,0.0,0,No Pruning,-85
0,300,Event -86,0.0,0,No Pruning,-86
0,300,Event -87,0.0,0,No Pruning,-87
0,300,Event -88,0.0,0,No Pruning,-88
0,300,Event -89,0.0,0,No Pruning,-89
0,300,Event -90,0.0,0,No Pruning,-90
0,300,Event -91,0.0,0,No Pruning,-91
0,300,Event -92,0.0,0,No Pruning,-92
0,300,Event -93,-0.00025292758574324906,0,No Pruning,-93
0,300,Event -94,0.0,0,No Pruning,-94
0,300,Event -95,0.0,0,No Pruning,-95
0,300,Event -96,0.0,0,No Pruning,-96
0,300,Event -97,0.0,0,No Pruning,-97
0,300,Event -98,0.0,0,No Pruning,-98
0,300,Event -99,0.0,0,No Pruning,-99
0,300,Event -100,-0.0004671717357800678,0,No Pruning,-100
0,300,Event -101,0.0,0,No Pruning,-101
0,300,Event -102,0.0,0,No Pruning,-102
0,300,Event -103,0.0,0,No Pruning,-103
0,300,Event -104,-0.00018580449768481984,0,No Pruning,-104
0,300,Event -105,0.0,0,No Pruning,-105
0,300,Event -106,0.0,0,No Pruning,-106
0,300,Event -107,0.0,0,No Pruning,-107
0,300,Event -108,0.0,0,No Pruning,-108
0,300,Event -109,0.0,0,No Pruning,-109
0,300,Event -110,0.0,0,No Pruning,-110
0,300,Event -111,0.0,0,No Pruning,-111
0,300,Event -112,0.0,0,No Pruning,-112
0,300,Event -113,0.0,0,No Pruning,-113
0,300,Event -114,0.0,0,No Pruning,-114
0,300,Event -115,0.0,0,No Pruning,-115
0,300,Event -116,0.0,0,No Pruning,-116
0,300,Event -117,0.0,0,No Pruning,-117
0,300,Event -118,0.0,0,No Pruning,-118
0,300,Event -119,0.0,0,No Pruning,-119
0,300,Event -120,0.0,0,No Pruning,-120
0,300,Event -121,0.0,0,No Pruning,-121
0,300,Event -122,0.0,0,No Pruning,-122
0,300,Event -123,0.0,0,No Pruning,-123
0,300,Event -124,-7.444348572253684e-05,0,No Pruning,-124
0,300,Event -125,0.0,0,No Pruning,-125
0,300,Event -126,2.3176995058890742e-06,0,No Pruning,-126
0,300,Event -127,0.0,0,No Pruning,-127
0,300,Event -128,0.0,0,No Pruning,-128
0,300,Event -129,0.0,0,No Pruning,-129
0,300,Event -130,0.0,0,No Pruning,-130
0,300,Event -131,-0.00019903022926453533,0,No Pruning,-131
0,300,Event -132,0.0,0,No Pruning,-132
0,300,Event -133,0.0,0,No Pruning,-133
0,300,Event -134,0.0,0,No Pruning,-134
0,300,Event -135,0.0,0,No Pruning,-135
0,300,Event -136,0.0,0,No Pruning,-136
0,300,Event -137,0.0,0,No Pruning,-137
0,300,Event -138,-0.00012843171849317864,0,No Pruning,-138
0,300,Event -139,-0.0006894252494741606,0,No Pruning,-139
0,300,Event -140,0.0,0,No Pruning,-140
0,300,Event -141,0.0,0,No Pruning,-141
0,300,Event -142,0.0,0,No Pruning,-142
0,300,Event -143,0.0,0,No Pruning,-143
0,300,Event -144,0.0,0,No Pruning,-144
0,300,Event -145,0.0,0,No Pruning,-145
0,300,Event -146,5.403356318903307e-06,0,No Pruning,-146
0,300,Event -147,0.0,0,No Pruning,-147
0,300,Event -148,0.0,0,No Pruning,-148
0,300,Event -149,0.0,0,No Pruning,-149
0,300,Event -150,0.0,0,No Pruning,-150
0,300,Event -151,0.0,0,No Pruning,-151
0,300,Event -152,0.0,0,No Pruning,-152
0,300,Event -153,0.0,0,No Pruning,-153
0,300,Event -154,0.0,0,No Pruning,-154
0,300,Event -155,0.0,0,No Pruning,-155
0,300,Event -156,0.0,0,No Pruning,-156
