Random seed,NSamples,Feature,Shapley Value,Entity,Tolerance
0,300,Feature 0,0.0043141535942135024,0,No Pruning
0,300,Feature 1,-0.0040422922810953495,0,No Pruning
0,300,Feature 2,-0.0017414124095750984,0,No Pruning
0,300,Feature 3,-0.004968313704469951,0,No Pruning
0,300,Feature 4,0.00332123199635413,0,No Pruning
0,300,Feature 5,0.0,0,No Pruning
0,300,Feature 6,-0.001027720698248376,0,No Pruning
0,300,Feature 7,0.0024971485054984255,0,No Pruning
0,300,Feature 8,-0.0014567485538021243,0,No Pruning
0,300,Feature 9,-0.0030351087053876995,0,No Pruning
0,300,Feature 10,0.0,0,No Pruning
0,300,Feature 11,-0.0037885085633421953,0,No Pruning
0,300,Feature 0,0.0034888711398741654,1,No Pruning
0,300,Feature 1,-0.0016150212237008702,1,No Pruning
0,300,Feature 2,-0.0014997228956407497,1,No Pruning
0,300,Feature 3,-0.0021061728329613955,1,No Pruning
0,300,Feature 4,0.0032862341826645435,1,No Pruning
0,300,Feature 5,0.0032441121835346987,1,No Pruning
0,300,Feature 6,0.001685193133467205,1,No Pruning
0,300,Feature 7,0.002892655444322414,1,No Pruning
0,300,Feature 8,0.0,1,No Pruning
0,300,Feature 9,0.0017297781973995823,1,No Pruning
0,300,Feature 10,0.0012127712076736383,1,No Pruning
0,300,Feature 11,-0.0018209943883406906,1,No Pruning
0,300,Feature 0,0.0024681628594320003,2,No Pruning
0,300,Feature 1,-0.003291093746146177,2,No Pruning
0,300,Feature 2,0.0015853349730710281,2,No Pruning
0,300,Feature 3,0.0013111023995263974,2,No Pruning
0,300,Feature 4,0.005156961940420308,2,No Pruning
0,300,Feature 5,-0.001236559432075969,2,No Pruning
0,300,Feature 6,0.002293633546351011,2,No Pruning
0,300,Feature 7,-0.0016037102908673252,2,No Pruning
0,300,Feature 8,0.009537245971233349,2,No Pruning
0,300,Feature 9,-0.0061046737622536635,2,No Pruning
0,300,Feature 10,-0.00280921999533839,2,No Pruning
0,300,Feature 11,-8.626056274832136e-05,2,No Pruning
0,300,Feature 0,0.0031390282450668144,3,No Pruning
0,300,Feature 1,-0.0030389931058941284,3,No Pruning
0,300,Feature 2,-0.0035498648925767953,3,No Pruning
0,300,Feature 3,-0.00369193571686311,3,No Pruning
0,300,Feature 4,0.003980055261521951,3,No Pruning
0,300,Feature 5,-0.0012869741551906773,3,No Pruning
0,300,Feature 6,0.0,3,No Pruning
0,300,Feature 7,0.0,3,No Pruning
0,300,Feature 8,0.0019682177888851434,3,No Pruning
0,300,Feature 9,-0.0025471574806490444,3,No Pruning
0,300,Feature 10,0.0,3,No Pruning
0,300,Feature 11,-0.0027511546165184765,3,No Pruning
0,300,Feature 0,0.006542581145254242,4,No Pruning
0,300,Feature 1,0.0,4,No Pruning
0,300,Feature 2,0.004626833088645452,4,No Pruning
0,300,Feature 3,0.0,4,No Pruning
0,300,Feature 4,0.0014648194637748371,4,No Pruning
0,300,Feature 5,0.00442994816772607,4,No Pruning
0,300,Feature 6,0.002206367222226185,4,No Pruning
0,300,Feature 7,0.003712883366972194,4,No Pruning
0,300,Feature 8,0.005864590648058165,4,No Pruning
0,300,Feature 9,0.003415174737259224,4,No Pruning
0,300,Feature 10,0.005647609375201711,4,No Pruning
0,300,Feature 11,0.004547563112831443,4,No Pruning
0,300,Feature 0,0.007994428587861228,5,No Pruning
0,300,Feature 1,0.0,5,No Pruning
0,300,Feature 2,0.0022109650721510617,5,No Pruning
0,300,Feature 3,-0.0015180066835108526,5,No Pruning
0,300,Feature 4,0.00236882403049018,5,No Pruning
0,300,Feature 5,0.006775336131541789,5,No Pruning
0,300,Feature 6,0.0024818464494869826,5,No Pruning
0,300,Feature 7,0.004482138979523188,5,No Pruning
0,300,Feature 8,0.003919760944618507,5,No Pruning
0,300,Feature 9,0.0017315591551376186,5,No Pruning
0,300,Feature 10,0.004254758324336756,5,No Pruning
0,300,Feature 11,0.0003949300554597912,5,No Pruning
0,300,Feature 0,0.0058259994372532875,6,No Pruning
0,300,Feature 1,-0.0004890726595708217,6,No Pruning
0,300,Feature 2,-0.0022875317956648654,6,No Pruning
0,300,Feature 3,-0.0023995446912435997,6,No Pruning
0,300,Feature 4,0.0,6,No Pruning
0,300,Feature 5,0.004365013665976925,6,No Pruning
0,300,Feature 6,0.0,6,No Pruning
0,300,Feature 7,0.0035752993389309134,6,No Pruning
0,300,Feature 8,-0.0029743776754022028,6,No Pruning
0,300,Feature 9,0.0005797990334757353,6,No Pruning
0,300,Feature 10,0.0030597611617810675,6,No Pruning
0,300,Feature 11,-0.0021818689049453114,6,No Pruning
0,300,Feature 0,0.008150136454839921,7,No Pruning
0,300,Feature 1,-0.0035452082433847457,7,No Pruning
0,300,Feature 2,-0.0013001217688441789,7,No Pruning
0,300,Feature 3,2.839325291798412e-05,7,No Pruning
0,300,Feature 4,0.005107851673684949,7,No Pruning
0,300,Feature 5,-0.002706554036553904,7,No Pruning
