class,n,p_orig,p_base,del_auc_norm,ins_auc_norm,combined,cons_spearman,cons_jaccard_5,cons_jaccard_10,infidelity_prob_best_sigma,infidelity_prob,infidelity_prob_grid,sens_windowed_delta_prob,config
sinus bradycardia,16,0.9134894609451294,0.8756692409515381,0.08305627107620239,0.8554981350898743,0.8862209320068359,0.928850663436803,0.6508740918528184,0.6775672185702981,0.001,5.338216755035319e-05,"{0.001: 5.338216755035319e-05, 0.002: 0.0002383522848958819}",0.007468145340681076,"{'subset': 16, 'prob_thresh': 0.85, 'win': 48, 'ig_steps': 12, 'ig_samples': 3, 'ig_sigma': 0.02, 'infid_sigmas': [0.001, 0.002], 'bs': 8}"
t wave inversion,1,0.8650147914886475,0.4241901636123657,0.14058621227741241,0.8793577551841736,0.8693857714533806,0.9331288579011545,0.8656716417910447,0.8484288354898336,0.001,0.0013211842739941915,"{0.001: 0.0013211842739941915, 0.002: 0.0034633671429082913}",0.05840730667114258,"{'subset': 16, 'prob_thresh': 0.85, 'win': 48, 'ig_steps': 12, 'ig_samples': 3, 'ig_sigma': 0.02, 'infid_sigmas': [0.001, 0.002], 'bs': 8}"
nonspecific intraventricular conduction disorder,16,0.7291055917739868,0.4931934177875519,0.13423027098178864,0.8006753921508789,0.8332225605845451,0.9029405521944363,0.5620654700209748,0.605769294951387,0.001,0.0011430190534156282,"{0.001: 0.0011430190534156282, 0.002: 0.0039030990046740044}",0.030006609857082367,"{'subset': 16, 'prob_thresh': 0.85, 'win': 48, 'ig_steps': 12, 'ig_samples': 3, 'ig_sigma': 0.02, 'infid_sigmas': [0.001, 0.002], 'bs': 8}"
left anterior fascicular block,16,0.9096076488494873,0.4683750867843628,0.15761740505695343,0.8100661635398865,0.8262243792414665,0.8859369684406067,0.47600084591158154,0.5296449895179971,0.001,0.0021682437018171186,"{0.001: 0.0021682437018171186, 0.002: 0.009295259515056387}",0.023229461163282394,"{'subset': 16, 'prob_thresh': 0.85, 'win': 48, 'ig_steps': 12, 'ig_samples': 3, 'ig_sigma': 0.02, 'infid_sigmas': [0.001, 0.002], 'bs': 8}"
ventricular premature beats,3,0.9032461643218994,0.39571109414100647,0.2518652677536011,0.7868233323097229,0.7674790322780609,0.8994553841118381,0.5066065714916745,0.5934063238097599,0.001,0.010928634671245163,"{0.001: 0.010928634671245163, 0.002: 0.04483791735219711}",0.013481955043971539,"{'subset': 16, 'prob_thresh': 0.85, 'win': 48, 'ig_steps': 12, 'ig_samples': 3, 'ig_sigma': 0.02, 'infid_sigmas': [0.001, 0.002], 'bs': 8}"
supraventricular premature beats,5,0.8969432711601257,0.44487112760543823,0.29177936911582947,0.8191413879394531,0.7636810094118118,0.8817884667860584,0.511555521137901,0.5648907689768403,0.001,0.10317075038619805,"{0.001: 0.10317075038619805, 0.002: 0.2936821448674891}",0.017240429297089577,"{'subset': 16, 'prob_thresh': 0.85, 'win': 48, 'ig_steps': 12, 'ig_samples': 3, 'ig_sigma': 0.02, 'infid_sigmas': [0.001, 0.002], 'bs': 8}"
qwave abnormal,10,0.8883166313171387,0.5147721767425537,0.28608304262161255,0.7443873286247253,0.7291521430015564,0.9160811809944673,0.6123350311181908,0.6498488289693786,0.001,0.0006915162866789615,"{0.001: 0.0006915162866789615, 0.002: 0.003082489834923763}",0.014192426577210426,"{'subset': 16, 'prob_thresh': 0.85, 'win': 48, 'ig_steps': 12, 'ig_samples': 3, 'ig_sigma': 0.02, 'infid_sigmas': [0.001, 0.002], 'bs': 8}"
left axis deviation,16,0.9016749858856201,0.2508719563484192,0.308646023273468,0.7645800113677979,0.7279669940471649,0.8999236412543569,0.5623448289125502,0.6005572308931539,0.001,0.00645467411413847,"{0.001: 0.00645467411413847, 0.002: 0.03203614072117489}",0.0263286754488945,"{'subset': 16, 'prob_thresh': 0.85, 'win': 48, 'ig_steps': 12, 'ig_samples': 3, 'ig_sigma': 0.02, 'infid_sigmas': [0.001, 0.002], 'bs': 8}"
t wave abnormal,16,0.9164000153541565,0.4473623037338257,0.3233027756214142,0.7749279737472534,0.7258125990629196,0.9240612978338916,0.6652228796732114,0.675844203764506,0.001,0.00014847365991954575,"{0.001: 0.00014847365991954575, 0.002: 0.000643586135993246}",0.01505180075764656,"{'subset': 16, 'prob_thresh': 0.85, 'win': 48, 'ig_steps': 12, 'ig_samples': 3, 'ig_sigma': 0.02, 'infid_sigmas': [0.001, 0.002], 'bs': 8}"
prolonged qt interval,16,0.9213677048683167,0.3536159098148346,0.2931118905544281,0.7424212694168091,0.7246546894311905,0.9184736375160351,0.633906467338588,0.6307003329219143,0.001,0.0004525822300820437,"{0.001: 0.0004525822300820437, 0.002: 0.0021668597037205473}",0.013921823352575302,"{'subset': 16, 'prob_thresh': 0.85, 'win': 48, 'ig_steps': 12, 'ig_samples': 3, 'ig_sigma': 0.02, 'infid_sigmas': [0.001, 0.002], 'bs': 8}"
