class,n,p_orig,p_base,del_auc_norm,ins_auc_norm,combined,cons_spearman,cons_jaccard_5,cons_jaccard_10,infidelity_prob_best_sigma,infidelity_prob,infidelity_prob_grid,sens_windowed_delta_prob,config
pacing rhythm,12,0.9916472434997559,0.0559837706387043,0.4391096364612512,0.8658309339101571,0.7133606487244529,0.8945454727318034,0.5078445153225551,0.595345369741638,nan,nan,{},0.008771578781306744,"{""subset"": 12, ""prob_thresh"": 0.9, ""win"": 48, ""ig_steps"": 8, ""ig_samples"": 1, ""ig_sigma"": 0.02, ""bs"": 16, ""auc_steps"": 11, ""do_consistency"": true, ""do_infidelity"": false, ""infid_sigmas"": [0.001, 0.002]}"
prolonged qt interval,12,0.9626911282539368,0.3536159098148346,0.40078921100246384,0.7365117508730522,0.6678612699352942,0.9228805676906966,0.6309266047194036,0.6340174089096078,nan,nan,{},0.008496616967022419,"{""subset"": 12, ""prob_thresh"": 0.9, ""win"": 48, ""ig_steps"": 8, ""ig_samples"": 1, ""ig_sigma"": 0.02, ""bs"": 16, ""auc_steps"": 11, ""do_consistency"": true, ""do_infidelity"": false, ""infid_sigmas"": [0.001, 0.002]}"
atrial fibrillation,12,0.9671275019645691,0.3690507709980011,0.4983051442509876,0.7550412446406938,0.6283680501948531,0.9326340131663285,0.6788966214030981,0.7180353605022941,nan,nan,{},0.009081210009753704,"{""subset"": 12, ""prob_thresh"": 0.9, ""win"": 48, ""ig_steps"": 8, ""ig_samples"": 1, ""ig_sigma"": 0.02, ""bs"": 16, ""auc_steps"": 11, ""do_consistency"": true, ""do_infidelity"": false, ""infid_sigmas"": [0.001, 0.002]}"
atrial flutter,12,0.9775927662849426,0.5960586667060852,0.5492918887988062,0.6951766059141572,0.5729423585576755,0.9154377197103944,0.6370498596171174,0.6430285539016606,nan,nan,{},0.0030937243718653917,"{""subset"": 12, ""prob_thresh"": 0.9, ""win"": 48, ""ig_steps"": 8, ""ig_samples"": 1, ""ig_sigma"": 0.02, ""bs"": 16, ""auc_steps"": 11, ""do_consistency"": true, ""do_infidelity"": false, ""infid_sigmas"": [0.001, 0.002]}"
left bundle branch block,12,0.9715192317962646,0.47765854001045227,0.46554558741612784,0.8177758964450071,0.6761151545144397,0.9189766733476918,0.5030864125243777,0.5837042416239757,nan,nan,{},0.009045903570950031,"{""subset"": 12, ""prob_thresh"": 0.9, ""win"": 48, ""ig_steps"": 8, ""ig_samples"": 1, ""ig_sigma"": 0.02, ""bs"": 16, ""auc_steps"": 11, ""do_consistency"": true, ""do_infidelity"": false, ""infid_sigmas"": [0.001, 0.002]}"
qwave abnormal,12,0.9353317618370056,0.5147721767425537,0.35885520593920556,0.7627227860867841,0.7019337900737892,0.8994392068263969,0.5782508911428887,0.6056599653955637,nan,nan,{},0.00789003074169159,"{""subset"": 12, ""prob_thresh"": 0.9, ""win"": 48, ""ig_steps"": 8, ""ig_samples"": 1, ""ig_sigma"": 0.02, ""bs"": 16, ""auc_steps"": 11, ""do_consistency"": true, ""do_infidelity"": false, ""infid_sigmas"": [0.001, 0.002]}"
t wave abnormal,12,0.9394868016242981,0.4473623037338257,0.34691101877765956,0.7865985151485773,0.7198437481854588,0.9223694844653938,0.6293886110294825,0.6714972121184588,nan,nan,{},0.017186542972922325,"{""subset"": 12, ""prob_thresh"": 0.9, ""win"": 48, ""ig_steps"": 8, ""ig_samples"": 1, ""ig_sigma"": 0.02, ""bs"": 16, ""auc_steps"": 11, ""do_consistency"": true, ""do_infidelity"": false, ""infid_sigmas"": [0.001, 0.002]}"
prolonged pr interval,12,0.9460538029670715,0.026373853906989098,0.24148495763442143,0.6710358600592055,0.714775451212392,0.8808818483452474,0.4712175346782442,0.5373782288898955,nan,nan,{},0.01870284415781498,"{""subset"": 12, ""prob_thresh"": 0.9, ""win"": 48, ""ig_steps"": 8, ""ig_samples"": 1, ""ig_sigma"": 0.02, ""bs"": 16, ""auc_steps"": 11, ""do_consistency"": true, ""do_infidelity"": false, ""infid_sigmas"": [0.001, 0.002]}"
ventricular premature beats,12,0.9750606417655945,0.39571109414100647,0.47222225506299303,0.8308608524227427,0.6793192986798748,0.89765325388352,0.5221025375669877,0.5945465264161486,nan,nan,{},0.005903089884668589,"{""subset"": 12, ""prob_thresh"": 0.9, ""win"": 48, ""ig_steps"": 8, ""ig_samples"": 1, ""ig_sigma"": 0.02, ""bs"": 16, ""auc_steps"": 11, ""do_consistency"": true, ""do_infidelity"": false, ""infid_sigmas"": [0.001, 0.002]}"
low qrs voltages,12,0.9447354674339294,0.24113361537456512,0.4685880504788024,0.6964515686844336,0.6139317591028155,0.9375025982817484,0.6825058655370653,0.7065983130732677,nan,nan,{},0.007800941821187735,"{""subset"": 12, ""prob_thresh"": 0.9, ""win"": 48, ""ig_steps"": 8, ""ig_samples"": 1, ""ig_sigma"": 0.02, ""bs"": 16, ""auc_steps"": 11, ""do_consistency"": true, ""do_infidelity"": false, ""infid_sigmas"": [0.001, 0.002]}"
